Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
799122,02.07.2023,трехчасовой прогноз,02.07.2023,02.07.2023,,,дождь,,23,25,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 23…25 градусов, ветер западный 5-10 м/сек. Ночью кратковременный дождь 1-5 мм, температура 14…16 градусов, ветер юго-западный 3-8 м/сек.",2598371838
799318,03.07.2023,трехчасовой прогноз,03.07.2023,03.07.2023,,,дождь,,24,26,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 24…26 градусов, ветер западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без осадков, температура 14…16 градусов, ветер юго-западный 3-8 м/сек.",2598656146
799514,04.07.2023,трехчасовой прогноз,04.07.2023,04.07.2023,,,без осадков,,24,26,,,,"Днем без осадков, температура 24…26 градусов, ветер юго-западный 5-10 м/сек. Ночью без осадков, температура 14…16 градусов, ветер юго-западный 3-8 м/сек.",2601865606
799710,05.07.2023,трехчасовой прогноз,05.07.2023,05.07.2023,,,дождь,,26,28,,,,"Днем жаркая погода, местами кратковременный дождь 0-5 мм, температура 26…28 градусов, ветер юго-западный 5-10 м/сек. Ночью без осадков, температура 15…17 градусов, ветер юго-западный 3-8 м/сек.",2601930575
799906,06.07.2023,трехчасовой прогноз,06.07.2023,06.07.2023,,,дождь,,26,28,,,,"Днем жаркая погода, местами кратковременный дождь 0-3 мм, температура 26…28 градусов, ветер юго-западный 5-10 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 17…19 градусов, ветер юго-восточный 3-8 м/сек.",2601980238
800102,07.07.2023,трехчасовой прогноз,07.07.2023,07.07.2023,,,дождь,,26,28,,,,"Днем жаркая погода, кратковременный дождь, местами сильный 5-10 мм, местами до 15-20 мм, температура 26…28 градусов, ветер южный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью кратковременный дождь 3-8 мм, температура 17…19 градусов, ветер северо-западный 3-8 м/сек.",2602001128
800298,08.07.2023,трехчасовой прогноз,08.07.2023,08.07.2023,,,дождь,,22,24,,,,"Днем местами кратковременный дождь 0-5 мм, температура 22…24 градусов, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 15…17 градусов, ветер северо-западный 3-8 м/сек.",2602017638
800493,09.07.2023,трехчасовой прогноз,09.07.2023,09.07.2023,,,без осадков,,23,25,,,,"Днем без осадков, температура 23…25 градусов, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер северо-западный 5-10 м/сек.",2602034007
800678,10.07.2023,трехчасовой прогноз,10.07.2023,10.07.2023,,,дождь,,20,22,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 20…22 градуса, ветер северо-западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 13…15 градусов, ветер северо-западный 5-10 м/сек.",2602051765
800874,11.07.2023,трехчасовой прогноз,11.07.2023,11.07.2023,,,дождь,,19,21,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 19…21 градус, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 11…13 градусов, ветер северо-западный 5-10 м/сек.",2602484359
801070,12.07.2023,трехчасовой прогноз,12.07.2023,12.07.2023,,,дождь,,18,20,,,,"Днем местами кратковременный дождь 0-3 мм, температура 18…20 градусов, ветер северо-западный 5-10 м/сек. Ночью кратковременный дождь 2-7 мм, температура 11…13 градусов, ветер западный 3-8 м/сек.",2602832094
801266,13.07.2023,трехчасовой прогноз,13.07.2023,13.07.2023,,,дождь,,17,19,,,,"Днем кратковременный дождь 5-14 мм, температура 17…19 градусов, ветер западный 5-10 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 12…14 градусов, ветер северо-западный 5-10 м/сек.",2603007267
801463,14.07.2023,трехчасовой прогноз,14.07.2023,14.07.2023,,,дождь,,18,20,,,,"Днем местами небольшой кратковременный дождь 0-2 мм, температура 18…20 градусов, ветер северо-западный 5-10 м/сек. Ночью местами кратковременный дождь 0-5 мм, температура 13…15 градусов, ветер северо-западный 5-10 м/сек.",2603034166
801659,15.07.2023,трехчасовой прогноз,15.07.2023,15.07.2023,,,дождь,,19,21,,,,"Днем местами кратковременный дождь 0-5 мм, температура 19…21 градус, ветер северо-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер северо-западный 3-8 м/сек.",2603064818
